result_version,session_mode,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260226-r3-manual,isolated,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,c6c713bb-fc27-4268-a173-42eecc0ed8e0,948,2026-02-26T23:52:59,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260226-r3-manual,isolated,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,5b8e6542-ac08-4cba-9a41-2c5583e4b74a,853,2026-02-26T23:53:00,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、购物车加减与结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260226-r3-manual,isolated,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,fc7cc6b0-0622-44a2-809f-98c77fbfa054,758,2026-02-26T23:53:01,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260226-r3-manual,isolated,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,78818cb0-3969-4f60-afd0-e8140f410bdd,1888,2026-02-26T23:53:03,我在，您直接告诉我现在要办哪件事就行，我会接着为您处理。,
v20260226-r3-manual,isolated,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,c2e31072-86e5-4586-909a-e7cb7d52dad7,1947,2026-02-26T23:53:05,我在，您直接告诉我现在要办哪件事就行，我会接着为您处理。,
v20260226-r3-manual,isolated,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,c460bfe9-b514-4eae-9706-f5a559888756,800,2026-02-26T23:53:06,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、购物车加减与结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260226-r3-manual,isolated,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,eab1c1e2-d412-4828-aaa0-005fde69e956,812,2026-02-26T23:53:07,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260226-r3-manual,isolated,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,aebea2a9-a195-48e9-a299-1e07160b7842,849,2026-02-26T23:53:08,没问题，我来一步步帮您下单。先确认服务类型：瓶装配送、换瓶、安装、安检、报修或配件。,
v20260226-r3-manual,isolated,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,541a8b42-fad9-4277-9f3c-6e26d779f9b6,877,2026-02-26T23:53:09,"给您查到这些订单：
1. LPG202602260630214485 | 瓶装配送 | 已支付 | 预计 2026-02-27 08:30
2. LPG202602260630184504 | 配件 | 已支付 | 预计 2026-02-27 09:00
3. LPG202602260629218882 | 瓶装配送 | 已支付 | 预计 2026-02-27 08:30
4. LPG202602260629179086 | 配件 | 已支付 | 预计 2026-02-27 09:00
5. LPG202602250042331946 | 瓶装配送 | 已支付 | 预计 2026-02-26 08:30
要看某一单详情，直接把订单号发我。",
v20260226-r3-manual,isolated,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,93f1a989-41c0-46cb-b7e1-85a7ce80f68b,823,2026-02-26T23:53:10,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、购物车加减与结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
