result_version,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260225-r2-cloud-isolated,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,757af10a-18a9-401f-b0e1-1e166153847e,1078,2026-02-25T08:48:01,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260225-r2-cloud-isolated,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,68dbe227-9ae0-4eeb-a545-4511680d2849,619,2026-02-25T08:48:02,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2-cloud-isolated,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,6b6a1c03-ba35-42c6-803a-d9e27f6cc36b,717,2026-02-25T08:48:02,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260225-r2-cloud-isolated,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,e599823a-75b9-4f52-b385-d7efa3bfa4c7,1291,2026-02-25T08:48:04,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2-cloud-isolated,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,71a0755b-c31b-49ab-9945-3d2bf87ebcea,1720,2026-02-25T08:48:05,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2-cloud-isolated,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,68c5bcb6-6636-486a-bfc1-182d66459a37,606,2026-02-25T08:48:06,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2-cloud-isolated,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,ff53798d-27bd-4042-92f3-6de9a8348c64,692,2026-02-25T08:48:07,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260225-r2-cloud-isolated,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,c93db727-d15d-4e28-8167-f69dc9159d5b,690,2026-02-25T08:48:07,没问题，我来一步步帮您下单。先确认服务类型：瓶装配送、换瓶、安装、安检、报修或配件。,
v20260225-r2-cloud-isolated,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,4341339e-0387-4e6c-94d0-172b97f617f9,809,2026-02-25T08:48:08,"给您查到这些订单：
1. LPG202602250042331946 | 瓶装配送 | 已支付 | 预计 2026-02-26 08:30
2. LPG202602250042206857 | 瓶装配送 | 待支付 | 预计 2026-02-26 08:30
3. LPG202602191134369119 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:34
4. LPG202602191121149000 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:21
5. LPG202602190457274950 | 瓶装配送 | 已过期 | 预计 2026-02-20 09:00
要看某一单详情，直接把订单号发我。",
v20260225-r2-cloud-isolated,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,0b4adca6-9508-49f6-aa80-466ce3e95704,665,2026-02-25T08:48:09,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
