result_version,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260213-fix1,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,8750b6d5-9360-4271-9b58-5e9ef7383b1c,5938,2026-02-14T00:15:46,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260213-fix1,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,956904d0-7147-4578-b808-84e655c5f22e,550,2026-02-14T00:15:47,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix1,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,883e86ac-6dc5-4392-a2ad-61f4dbe36c33,549,2026-02-14T00:15:47,按规则，服务开始前至少 1 小时才可改址。请把订单号发我，我先帮您判断是否可改。,
v20260213-fix1,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,a4e016fc-3f06-4a1a-b29b-6d65facee56f,535,2026-02-14T00:15:48,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix1,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,b6f39fa0-1c02-4d05-8b98-d5fa1890195d,568,2026-02-14T00:15:48,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix1,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,be0fbd3a-675a-4bb7-966d-43a24ce98091,567,2026-02-14T00:15:49,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix1,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,dbe8bb91-40f1-4027-bc31-a78aafcb70d5,555,2026-02-14T00:15:49,按规则，服务开始前至少 1 小时才可改址。请把订单号发我，我先帮您判断是否可改。,
v20260213-fix1,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,50c806c5-9096-4ea4-a38f-6eee9f30d5b3,591,2026-02-14T00:15:50,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-fix1,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,27268ed8-f5b0-4e30-a12f-fb782526c0e1,547,2026-02-14T00:15:50,您当前没有订单记录。,
v20260213-fix1,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,dbcd09e5-716c-4135-959f-f6e7ac3af3af,543,2026-02-14T00:15:51,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
